id,title,serving,post_hit,created_at,updated_at,cate1,cate2,cate3,user_id
117,수요미식회 일본 쿠지라이식라면 만들기!!,1,0,2018-10-02 00:00:00.000001,2018-10-02 00:00:00.000001,일식,원팬/스피디,밀가루,83
120,초간단 달걀요리 : 일본식 달걀덮밥 텐신항,1,0,2020-02-11 00:00:00.000001,2020-02-11 00:00:00.000001,일식,원팬/스피디,달걀/유제품,82
123,일본 이자카야 맛!!가리바타 무,2,0,2018-11-20 00:00:00.000001,2018-11-20 00:00:00.000001,일식,다이어트,채소,70
124,일본식 볶음우동 야끼소바,1,0,2010-05-11 00:00:00.000001,2010-05-11 00:00:00.000001,일식,원팬/스피디,밀가루,60
126,양배추로 반찬 만들기 : 무한샐러드 ( 일본 무겐시리즈 ) / Cabbage,1,0,2019-09-05 00:00:00.000001,2019-09-05 00:00:00.000001,일식,다이어트,채소,55
127,"치즈 듬뿍 넣고 이모모찌, 일본식 치즈감자떡 만들기",2,0,2021-01-19 00:00:00.000001,2021-01-19 00:00:00.000001,일식,일상,채소,58
140,"[일본가정식] 일본 가정에서 먹는 중국식 볶음밥 차항, 계란요리",1,0,2016-02-16 00:00:00.000001,2016-02-16 00:00:00.000001,일식,일상,쌀,34
141,일본식 챠슈라면(미소라면),1,0,2015-09-13 00:00:00.000001,2015-09-13 00:00:00.000001,일식,일상,면,33
145,일본디저트 카스도스 만들기,1,0,2015-04-20 00:00:00.000001,2015-04-20 00:00:00.000001,일식,디저트,밀가루,32
146,"일본요리 모찌리도후 소스 만드는법, 크림치즈로 간단한 디저트 만들기 레시피",1,0,2022-08-26 00:00:00.000001,2022-08-26 00:00:00.000001,일식,디저트,달걀/유제품,31
147,간장 무조림 만들기 백종원 무조림 레시피 일본요리 무우조림 만드는법,2,0,2023-10-23 00:00:00.000001,2023-10-23 00:00:00.000001,일식,일상,채소,27
148,"오차즈케, 스팸통구이 & 후리가케 활용한 일본 가정식 만드는 법",1,0,2022-10-17 00:00:00.000001,2022-10-17 00:00:00.000001,일식,원팬/스피디,가공식품류,30
149,[푸딩 레시피]초간단 ~3가지 재료로 일본식 푸딩 만들기,2,0,2018-11-09 00:00:00.000001,2018-11-09 00:00:00.000001,일식,디저트,달걀/유제품,29
